Year,NT,BM,BX,NE,TX,TM,GT,GY,NY,GI,GN,LE,CF,FS,LPM,SU,ST,SM,SC,UEM,LIE,LEF,SEM,SF,SC,LPF,EP,UAE,LIEF,SAM,UIE,SUF,SUM
2001,2.42E+12,1.18E+12,7.31E+11,1.02E+12,7.31E+11,1.18E+12,1.25477E+12,1.14154E+12,5.26E+11,20636000000,20636000000,78.86990356,0.138999999,35.88000107,62.00239944,10.44400024,73.66400146,11.27999973,79.82732364,8.543600082,64.78269958,73.4095993,8.555000305,9.503000259,58.80400085,62.00239944,63.66260147,2.563199997,57.64039993,82.3239975,5.627099991,4.652999878,4.796999931
2002,2.41E+12,1.20E+12,6.98E+11,9.86E+11,6.93E+11,1.2E+12,1.07849E+12,9.6636E+11,5.29E+11,19938000000,19938000000,78.49009705,0.122000001,36.40000153,61.05500031,11.89700031,73.15799713,12.70300007,80.08146865,9.055000305,64.31259918,73.15239716,8.482999802,10.99800014,58.58599854,61.05500031,62.73180008,3.328399897,57.19710159,81.73999786,6.941400051,5.610000134,5.928999901
2003,2.58E+12,1.30E+12,7.30E+11,1.03E+12,7.24E+11,1.3E+12,1.07584E+12,9.63657E+11,5.41E+11,21458100000,21458100000,78.0868988,0.134000003,37.38000107,59.22900009,12.31900024,72.47399902,13.22599983,80.65237251,9.284000397,63.74729919,73.25270081,8.80300045,11.3039999,58.45199966,59.22900009,62.2765007,3.455899954,56.66609955,80.86399841,7.232500076,5.660999775,6.265999794
2004,2.97E+12,1.53E+12,8.24E+11,1.17E+12,8.17E+11,1.53E+12,1.16521E+12,1.04533E+12,5.6E+11,23282900000,23282900000,77.87020111,0.115999997,37.27000046,58.66260147,11.74199963,72.21900177,12.5170002,80.51620402,8.437000275,63.18280029,73.01940155,8.842000008,10.86999989,58.14799881,58.66260147,62.3451004,3.09920001,56.00370026,80.53299713,6.743000031,5.396999836,5.639999866
2005,3.32E+12,1.73E+12,9.13E+11,1.29E+12,9.04E+11,1.73E+12,1.39281E+12,1.26841E+12,5.83E+11,25334900000,25334900000,77.89610291,0.115999997,37.56000137,58.57529831,11.17199993,72.16000366,12.20499992,80.70675722,7.391600132,63.14519882,73.16220093,8.774000168,10.01599979,58.23799896,58.57529831,62.68939972,2.710700035,55.88750076,80.36699677,6.351799965,5.097000122,5.072000027
2006,3.71E+12,1.92E+12,1.04E+12,1.46E+12,1.04E+12,1.92E+12,1.56261E+12,1.43553E+12,5.96E+11,26687000000,26687000000,77.78099823,0.107000001,36.95000076,57.86050034,10.35700035,72.28399658,11.05200005,80.69974398,7.185599804,63.082901,73.10070038,8.630999565,9.56400013,58.33300018,57.86050034,63.11970139,2.426599979,55.74010086,80.51100159,5.82889986,4.626999855,4.618999958
2007,4.05E+12,2.02E+12,1.17E+12,1.66E+12,1.16E+12,2.02E+12,1.63413E+12,1.51303E+12,6.07E+11,28793000000,28793000000,77.7303009,0.134000003,37.95000076,57.19580078,10.39900017,71.9940033,11.37300014,80.91785128,7.308100224,62.5177002,73.08999634,8.399999619,9.30700016,58.25600052,57.19580078,62.98720169,2.419699907,55.16749954,80.23000336,5.894999981,4.500999928,4.724999905
2008,4.39E+12,2.17E+12,1.31E+12,1.85E+12,1.30E+12,2.17E+12,1.51778E+12,1.39553E+12,5.99E+11,29243100000,29243100000,77.72519684,0.112999998,37.95000076,56.49810028,12.68000031,71.76599884,14.13899994,81.45361623,9.885899544,62.24119949,73.47730255,8.267999649,11.03999996,58.45600128,56.49810028,62.17699814,3.013099909,54.92699814,79.91600037,7.416100025,5.418000221,6.096000195
2009,3.55E+12,1.61E+12,1.07E+12,1.59E+12,1.06E+12,1.61E+12,1.14428E+12,1.03228E+12,5.66E+11,23081000000,23081000000,77.33000183,0.082999997,38.06999969,55.22800064,17.44199944,70.74299622,19.88800049,82.18622613,14.69499969,61.22930145,73.34989929,8.369000435,14.73400021,58.14099884,55.22800064,59.32020187,5.337100029,54.11199951,78.78399658,11.73139954,8.059000015,10.27999973
2010,4.21E+12,1.97E+12,1.29E+12,1.87E+12,1.28E+12,1.97E+12,1.28868E+12,1.17682E+12,5.85E+11,28603000000,28603000000,76.51049805,0.101999998,38.79999924,53.5542984,18.29299927,69.90100098,20.62400055,82.25776419,15.02680016,60.44660187,72.44419861,8.326999664,15.70899963,57.49900055,53.5542984,58.4720993,5.474299908,53.44580078,77.94599915,12.32339954,8.612000465,10.51000023
